holistic,text
70.22361111,1.664120642
59.3625,1.604135322
67.3,1.652000146
29.3,1.529474217
39.5281746,1.506284056
62.75138889,1.65431402
57.76111111,1.559012794
73.53611111,1.68616266
63.18888889,1.703616684
65.82777778,1.589394325
73.16111111,1.729820514
80.41111111,1.743551004
58.50138889,1.57935809
54.00138889,1.574924792
56.24444444,1.600691411
55.77222222,1.616944946
73.77222222,1.689810341
46.12638889,1.55812801
73.68888889,1.756531532
69.48055556,1.687397491
57.07777778,1.582164582
54.98055556,1.499771685
68.05,1.673150795
68.175,1.712490402
61.30396825,1.581424239
68.9031746,1.605268355
75.58472222,1.741583689
51.68888889,1.546493845
65.93888889,1.508309641
67.98650794,1.713202386
67.09166667,1.648022306
71.41210317,1.64427883
30.12936508,1.424089782
66.93888889,1.717009244
44.97777778,1.496550584
77.98333333,1.664470976
53.60555556,1.624042817
74.93888889,1.704632353
73.62638889,1.589032993
74.36944444,1.673957194
63.13888889,1.603593999
76.43888889,1.679326427
72.80496032,1.718994444
65.27222222,1.600344762
69.59761905,1.624424318
70.70277778,1.671400067
68.6531746,1.679910842
46.16805556,1.486107774
75.07380952,1.686682327
56.96666667,1.497855097
76.06388889,1.696707034
69.16111111,1.636519016
64.85555556,1.688015747
34.31388889,1.536174064
70.3,1.712101558
71.06388889,1.660823779
67.42996032,1.618691422
70.97460317,1.671099671
70.80694444,1.678423881
61.86388889,1.65788086
59.67777778,1.707195016
54.30138889,1.698428513
52.53888889,1.68868888
73.78333333,1.588007195
33.38888889,1.629664639
84.05555556,1.60707774
62.09365079,1.678609096
65.09444444,1.666124108
73.63888889,1.6974337
77.33888889,1.747929607
54.52638889,1.664396129
33.23888889,1.606901709
74.17638889,1.695805187
71.73888889,1.672154658
69.01111111,1.607305961
85.98888889,1.659361468
77.58888889,1.74052795
61.73888889,1.572398641
19.83888889,1.585862339
70.83888889,1.622958574
70.61666667,1.621432127
67.34444444,1.666227361
83.13333333,1.686495258
24.99444444,1.579622457
77.21666667,1.694285533
55.33888889,1.612926172
75.67638889,1.634551702
76.83888889,1.673490421
77.61666667,1.675254224
74.85555556,1.641919447
69.63888889,1.640593456
69.28888889,1.690172289
68.07777778,1.654098631
80.03888889,1.648735688
77.05138889,1.642502188
78.02638889,1.664431541
53.03333333,1.640839253
75.82222222,1.678750942
65.42301587,1.64428247
58.13888889,1.562508968
76.33888889,1.641539385
62.18888889,1.663873631
80.92777778,1.657669307
81.97777778,1.629008782
69.68888889,1.684003869
63.63888889,1.63874075
75.82083333,1.673079197
59.93888889,1.654286459
75.8,1.670573599
59.38888889,1.524493108
72.13888889,1.639422172
54.43888889,1.64954993
73.28888889,1.62889667
68.41111111,1.634986499
62.06746032,1.589651217
73.78174603,1.640738824
72.35,1.646240255
32.55,1.463850512
56.06388889,1.523845692
66.10555556,1.478260731
78.78611111,1.621092743
44.21666667,1.510485382
81.38333333,1.675319299
57.58888889,1.719034407
70.41111111,1.544259352
57.41388889,1.686705758
71.13333333,1.710805898
67.55,1.578387724
63.46269841,1.546595586
59.48055556,1.571556672
68.38888889,1.554319902
69.38333333,1.679760894
82.54305556,1.515800609
71.25138889,1.72131679
61.82777778,1.669772446
44.48888889,1.465912283
76.87638889,1.570102109
68.35,1.665376483
65.43888889,1.688213313
77.82777778,1.484679233
55.10555556,1.528634791
64.23055556,1.685287162
61.66111111,1.506854496
70.07777778,1.565442904
69.53888889,1.734222982
71.71666667,1.618103931
60.17698413,1.661211195
67.13333333,1.504205736
59.61388889,1.733858661
69.32777778,1.488593769
68.72777778,1.610006823
65.58472222,1.509420105
65.09861111,1.632126731
71.71666667,1.563863532
63.88333333,1.637231223
55.61666667,1.498968938
60.95972222,1.659872325
